driver_gene,target_gene,n_lineages,lineages,mean_effect,min_effect
KRAS,ADAT3,3,"blood, skin, upper_aerodigestive",-0.2530070275798693,-0.28133990571837003
KRAS,DCPS,3,"blood, skin, upper_aerodigestive",-0.3060954128339544,-0.31976028142529284
KRAS,TRMT61A,3,"blood, skin, central_nervous_system",-0.2820451981313336,-0.3414010144187929
KRAS,ALDOA,3,"blood, skin, upper_aerodigestive",-0.33453941260452297,-0.4920242268959555
PIK3CA,DLST,3,"skin, central_nervous_system, upper_aerodigestive",-0.2597037971841644,-0.2984460283987058
KRAS,COG5,3,"blood, kidney, upper_aerodigestive",-0.20236861869444875,-0.21857679316155215
KRAS,TWNK,3,"blood, lung, skin",-0.29543020932539066,-0.4410829474127296
KRAS,PPP6C,3,"blood, skin, upper_aerodigestive",-0.2242271562502529,-0.25605478495709927
KRAS,WARS2,3,"blood, skin, kidney",-0.24050615404578743,-0.3253477055781288
KRAS,TIMM29,3,"blood, lung, skin",-0.22514029915190079,-0.32042440044681847
KRAS,WDR12,3,"skin, kidney, upper_aerodigestive",-0.2956177858233085,-0.35188143304770403
KRAS,ORC5,3,"blood, skin, kidney",-0.31388196427480725,-0.3962867330799855
KRAS,MRPS18C,3,"blood, lung, central_nervous_system",-0.22181276973693412,-0.2982796658333958
KRAS,UTP4,3,"skin, central_nervous_system, upper_aerodigestive",-0.23695105398172026,-0.2660180563167742
KRAS,PKM,3,"blood, central_nervous_system, upper_aerodigestive",-0.26905943009408334,-0.33889508870482554
KRAS,MRE11,3,"blood, skin, upper_aerodigestive",-0.2424251477531664,-0.3034872956883029
KRAS,NSUN4,3,"blood, skin, kidney",-0.22161239175659495,-0.23614346534776492
KRAS,PLK4,3,"lung, central_nervous_system, upper_aerodigestive",-0.38035103245978336,-0.5818349331775375
BRCA2,ISCU,3,"blood, lung, skin",-0.270540317850171,-0.358807673762779
BRCA2,AHCTF1,3,"blood, colorectal, lung",-0.22529067398397662,-0.24997946381628977
BRCA2,DYNC1H1,3,"blood, lung, skin",-0.2732017221690976,-0.3961855802988963
KRAS,MIS18A,3,"lung, skin, central_nervous_system",-0.30693507191610164,-0.3433147024820573
KRAS,GAPDH,3,"lung, skin, kidney",-0.4094563727562625,-0.5318620056617136
BRCA2,MAPKAP1,3,"blood, lung, breast",-0.2308657908255228,-0.25477100417368487
BRCA2,LARP7,3,"blood, breast, upper_aerodigestive",-0.20972902745757482,-0.23982568827177164
BRCA2,VPS16,3,"blood, colorectal, lung",-0.25842118918792545,-0.30725458016138235
BRCA2,POLR3F,3,"blood, lung, skin",-0.34298743414728694,-0.4039126397059778
BRCA2,STX5,3,"colorectal, lung, bone",-0.2424500537788222,-0.3846591620631663
BRCA2,MRPL45,3,"blood, lung, breast",-0.19476432790391363,-0.2359779249030043
BRCA2,CCNA2,3,"colorectal, central_nervous_system, bone",-0.2704284141322666,-0.43158133009340616
PIK3CA,FEN1,3,"colorectal, lung, central_nervous_system",-0.25684553838635094,-0.30999630302930203
BRCA2,SNRPD1,3,"colorectal, lung, skin",-0.2941698703270165,-0.32771663314863075
PIK3CA,SDHC,3,"colorectal, skin, upper_aerodigestive",-0.2745268417348488,-0.4086186920843463
BRCA2,TBL1XR1,3,"colorectal, skin, central_nervous_system",-0.20405987056403666,-0.26282797326538776
EGFR,COX17,3,"colorectal, upper_aerodigestive, liver",-0.25217665413181306,-0.3145168532493615
EGFR,MRPL33,3,"colorectal, pancreas, kidney",-0.23890775183282228,-0.2742175092355387
BRCA2,XPO1,3,"colorectal, lung, skin",-0.31177201909810637,-0.36396016000532794
BRCA2,UFM1,3,"colorectal, bone, upper_aerodigestive",-0.17500921002281591,-0.18680030527477642
BRCA2,PRC1,3,"blood, lung, skin",-0.44585638721851634,-0.5854946003704617
BRCA2,CENPN,3,"blood, colorectal, lung",-0.41901184213315706,-0.5069837950627564
BRCA2,MAD2L1,3,"blood, lung, skin",-0.4619962082383793,-0.471575170707631
BRCA2,YARS1,3,"blood, colorectal, skin",-0.372420899404407,-0.4325880463813059
BRCA2,STX18,3,"ovary, skin, upper_aerodigestive",-0.3008700462518033,-0.31666412684834
BRCA2,PSMC4,3,"blood, lung, skin",-0.29634096209796335,-0.3961737866436892
BRCA2,AP2M1,3,"blood, skin, breast",-0.3391117691515743,-0.39305221685555014
BRCA2,AURKB,3,"blood, lung, breast",-0.2899931084724457,-0.3784246332115986
BRCA2,MED4,3,"blood, lung, skin",-0.3791047983583112,-0.5685963466010733
PIK3CA,UBE2G2,3,"lung, skin, breast",-0.1885995229418339,-0.20883169334785473
KRAS,LRRC37A3,3,"lung, central_nervous_system, kidney",-0.3989187643994854,-0.519868428070527
BRCA2,DYNC1I2,3,"blood, skin, central_nervous_system",-0.2774234030640083,-0.329984192732909
BRCA2,CHD4,3,"blood, colorectal, bone",-0.3490796172706549,-0.37043978716632453
BRCA2,CARS1,3,"blood, lung, skin",-0.28334000299949386,-0.3367384362112882
BRCA2,SRP54,3,"blood, lung, skin",-0.3165489273797702,-0.392248872787871
BRCA2,RBM22,3,"blood, skin, bone",-0.3022374098832892,-0.3696250389318738
BRCA2,ORC5,3,"blood, lung, upper_aerodigestive",-0.28801120913315353,-0.3331476521292656
BRCA2,SKP1,3,"blood, lung, skin",-0.3174020013664885,-0.3657654827142105
PIK3CA,RBM18,3,"lung, breast, central_nervous_system",-0.22577644552745668,-0.26325880874450847
BRCA2,PSG8,3,"blood, colorectal, lung",-0.21846741315946439,-0.28701609390781013
BRCA2,CCT8,3,"blood, lung, skin",-0.26700256334339434,-0.34152268486267934
BRCA2,HMGB1,3,"blood, lung, skin",-0.2747036748230333,-0.32958983581069157
ARID1A,ZNF492,3,"ovary, blood, lymphocyte",-0.2691514522724057,-0.3086156780898618
ARID1A,MPHOSPH10,3,"ovary, blood, breast",-0.28076918812336493,-0.30075525988775054
PIK3CA,CDIPT,3,"ovary, lung, central_nervous_system",-0.25878200151802766,-0.3200963194800638
PIK3CA,HSCB,3,"ovary, lung, central_nervous_system",-0.24932569625964127,-0.32072366459839097
PIK3CA,GAPDH,3,"ovary, lung, central_nervous_system",-0.2787702430188813,-0.34555491748725276
KRAS,ATP6V1B2,3,"ovary, lung, central_nervous_system",-0.280893017678723,-0.3692383393158938
PIK3CA,ZNF143,3,"ovary, skin, upper_aerodigestive",-0.18721374447296446,-0.1975901409232535
PIK3CA,KDSR,3,"ovary, lung, skin",-0.21207044984103676,-0.24801660308292872
PIK3CA,TIMM22,3,"ovary, lung, breast",-0.16764280112910313,-0.19113727991810672
BRCA2,ARID4B,3,"skin, breast, central_nervous_system",-0.18953094714114507,-0.24453105500157407
EGFR,RARS2,3,"ovary, pancreas, kidney",-0.2693335441199092,-0.32357364951751555
EGFR,HSD17B10,3,"ovary, pancreas, kidney",-0.23118825777759064,-0.24441659423865508
PIK3CA,CHMP4B,3,"ovary, lung, skin",-0.41740986118735296,-0.48333268875158975
EGFR,ITGB5,3,"pancreas, kidney, upper_aerodigestive",-0.21949160437016144,-0.298864415420818
BRCA2,CKAP5,3,"ovary, lung, skin",-0.31088649149705344,-0.41069533745986075
PIK3CA,CDS2,3,"ovary, lung, central_nervous_system",-0.24324250013804435,-0.24925830327156817
PIK3CA,ATP6V1B2,3,"ovary, colorectal, skin",-0.3432215262392713,-0.3954338235586825
ARID1A,XRCC3,3,"ovary, lung, skin",-0.26440760773094646,-0.37080456147670754
BRCA2,CWC22,3,"ovary, lung, bone",-0.32593926646501176,-0.454209500316729
BRCA2,KRAS,3,"ovary, colorectal, bone",-0.3428325319413437,-0.48776485891174826
KRAS,DAP3,3,"ovary, blood, skin",-0.26330737685620403,-0.3498650708447143
PIK3CA,MRTO4,2,"lung, breast",-0.21742505676954688,-0.24543038457323385
STK11,ZWINT,2,"central_nervous_system, lymphocyte",-0.32430995075388663,-0.33466976327219333
PIK3CA,CIAO1,2,"lung, upper_aerodigestive",-0.19720566601067735,-0.21045670845284215
PIK3CA,C19orf25,2,"lung, breast",-0.20415804931378972,-0.22570837712180908
PIK3CA,PWP2,2,"lung, breast",-0.21815806007300864,-0.2591916163459884
PIK3CA,UBE2I,2,"lung, upper_aerodigestive",-0.1971066806057603,-0.21874483819117807
PIK3CA,OXSM,2,"central_nervous_system, upper_aerodigestive",-0.22130306841323177,-0.2536102093811138
PIK3CA,UTP14A,2,"lung, breast",-0.18559442170136017,-0.1882003482749427
PIK3CA,SMC6,2,"central_nervous_system, upper_aerodigestive",-0.291838712036748,-0.3314179321900774
STK11,SEC14L1,2,"central_nervous_system, kidney",-0.20328425146110202,-0.21132206727086822
STK11,ATP2B1,2,"central_nervous_system, liver",-0.22998560126971507,-0.2903836316815754
PIK3CA,TIMM9,2,"lung, breast",-0.2187385408163538,-0.23322184373896737
PIK3CA,LEMD2,2,"lung, breast",-0.22145933866629927,-0.2342891718056766
STK11,OLFML3,2,"central_nervous_system, lymphocyte",-0.1595930986288741,-0.16392913607375262
BRCA2,SLC4A7,2,"central_nervous_system, bone",-0.15942766310172185,-0.1681823868363765
PIK3CA,NUBP2,2,"lung, skin",-0.23475440393079866,-0.2488254716820888
PIK3CA,LYRM4,2,"lung, central_nervous_system",-0.22657520132624176,-0.24097081189154546
BRCA2,ELAC2,2,"bone, upper_aerodigestive",-0.20837304373108168,-0.24749370399615
STK11,BRAP,2,"lymphocyte, liver",-0.28567199250644465,-0.3235138621399789
PIK3CA,FERMT2,2,"lung, skin",-0.48198754718916936,-0.6400010872038042
PIK3CA,ITGAV,2,"lung, skin",-0.5293699172278342,-0.6147975266751362
STK11,PKMYT1,2,"lymphocyte, liver",-0.3851058258426775,-0.514833192346767
KRAS,MRPL15,2,"lung, skin",-0.24559479356004218,-0.3251236165021215
PIK3CA,NCAPG2,2,"lung, skin",-0.2951461545086678,-0.39119225217662945
BRCA2,HARS1,2,"lung, skin",-0.4249696828584141,-0.5300711233041882
KRAS,PCID2,2,"central_nervous_system, kidney",-0.4209548500688873,-0.42811934377348904
ARID1A,FBXO42,2,"lung, skin",-0.21988782028181475,-0.2525196394792508
ARID1A,PRPF39,2,"lung, breast",-0.21084725979030935,-0.21657028428566943
ARID1A,TADA1,2,"lung, central_nervous_system",-0.23862704953015434,-0.27039420812825904
ARID1A,KRAS,2,"lung, breast",-0.33116415261020843,-0.4259723413082173
EGFR,POP1,2,"lung, pancreas",-0.16390399361218294,-0.1731171948887006
KRAS,PPWD1,2,"central_nervous_system, kidney",-0.39853147406318057,-0.508323859962575
EGFR,ATP5F1D,2,"lung, pancreas",-0.17454201569665817,-0.18982678277092602
EGFR,PRORP,2,"lung, kidney",-0.18442289741366638,-0.20867192455658473
KRAS,RUVBL2,2,"central_nervous_system, kidney",-0.29213951511121816,-0.3231279962740201
EGFR,CHCHD4,2,"lung, pancreas",-0.1836336002343737,-0.20653189274430894
EGFR,QRSL1,2,"lung, kidney",-0.16960434511323882,-0.1754185689319117
KRAS,DOLK,2,"central_nervous_system, upper_aerodigestive",-0.2385812752474522,-0.25996963080605445
EGFR,GFM1,2,"lung, kidney",-0.1976568896620231,-0.2234355895218143
KRAS,SP1,2,"central_nervous_system, upper_aerodigestive",-0.17762100484006865,-0.17764027049559075
PIK3CA,TPRKB,2,"lung, breast",-0.17212481640680244,-0.17428894688189633
KRAS,FAM222B,2,"central_nervous_system, kidney",-0.17824127208334722,-0.19480203466543686
PIK3CA,TRMT6,2,"lung, central_nervous_system",-0.19407170216814162,-0.2190609267721092
KRAS,PNPT1,2,"lung, skin",-0.23492722472041044,-0.30104063064997444
PIK3CA,SMC5,2,"lung, central_nervous_system",-0.21517977947678307,-0.26668004940734524
KRAS,ATP5F1B,2,"ovary, skin",-0.25032224618931076,-0.3398847673664168
PIK3CA,NOL9,2,"lung, skin",-0.16051461425421332,-0.16277562985609262
KRAS,RND2,2,"central_nervous_system, kidney",-0.22492294368704166,-0.2578071561398799
PIK3CA,GNL3,2,"lung, breast",-0.15587858511938013,-0.15761542516265648
KRAS,RETREG3,2,"central_nervous_system, kidney",-0.21168825270347472,-0.2313320917078537
KRAS,RCHY1,2,"central_nervous_system, kidney",-0.20060332960929023,-0.22058360520129894
KRAS,SMC6,2,"central_nervous_system, kidney",-0.3040024025775323,-0.38412856417368435
PIK3CA,NMNAT1,2,"lung, skin",-0.19676670629373527,-0.23961654256202178
EGFR,PPA1,2,"lung, pancreas",-0.19933379518065325,-0.21133948047186757
EGFR,FGFR1,2,"lung, upper_aerodigestive",-0.1878010113129841,-0.20321633260008598
KRAS,GTF3C6,2,"central_nervous_system, kidney",-0.31044098334486886,-0.3724540183442567
PIK3CA,ARMC5,2,"lung, skin",-0.19599528320308596,-0.23691052555846218
KRAS,ARID4B,2,"kidney, upper_aerodigestive",-0.1752073694723332,-0.18195740787195727
EGFR,CHMP3,2,"kidney, liver",-0.40802581174209895,-0.5012199641407217
BRCA2,SRRM1,2,"colorectal, lung",-0.18926260973004688,-0.20881126845793652
BRCA2,SRF,2,"colorectal, upper_aerodigestive",-0.24059051057242198,-0.30339800114999455
BRCA2,TRIM37,2,"colorectal, breast",-0.20223515917293786,-0.2204956396570299
EGFR,EIF4G2,2,"kidney, upper_aerodigestive",-0.28229435309404655,-0.29893448314123683
BRCA2,UFC1,2,"colorectal, skin",-0.23549724483449774,-0.2723958126345296
BRCA2,TARS1,2,"colorectal, lung",-0.18849121504110056,-0.19885622128776603
BRCA2,TMEM41B,2,"colorectal, skin",-0.22925193137108255,-0.2579914234994332
BRCA2,RAB7A,2,"colorectal, central_nervous_system",-0.21145822228261935,-0.2122941340069079
BRCA2,CRKL,2,"colorectal, central_nervous_system",-0.27188135436659117,-0.3192736775410637
BRCA2,CENPL,2,"colorectal, skin",-0.232772113607131,-0.2348130591434628
BRCA2,CCT2,2,"colorectal, upper_aerodigestive",-0.22930543646722634,-0.23213419332605367
BRCA2,PSMA5,2,"colorectal, lung",-0.20638324958565424,-0.23571101405814932
BRCA2,LIN52,2,"colorectal, lung",-0.2263833903109983,-0.23910199664553278
KRAS,MRPS10,2,"lung, skin",-0.22587390598799206,-0.2748601778017186
BRCA2,EFL1,2,"colorectal, lung",-0.38007981124038287,-0.5048347526114899
BRCA2,ALG11,2,"colorectal, skin",-0.4880790387381032,-0.5196016225386242
EGFR,MRPS34,2,"colorectal, pancreas",-0.1604768644411345,-0.16600349315365998
BRCA2,MOB4,2,"colorectal, lung",-0.25366499054584213,-0.35325715385114
BRCA2,RBM14,2,"colorectal, skin",-0.30384652742301177,-0.34464860490933047
BRCA2,PSMA6,2,"colorectal, lung",-0.2599559680115382,-0.3428656219350015
BRCA2,SEC13,2,"colorectal, skin",-0.43090326035270526,-0.5265907650977969
EGFR,ARIH2,2,"kidney, liver",-0.22475783527405063,-0.24534462852877614
BRCA2,ECT2,2,"colorectal, lung",-0.274510442877856,-0.30766252176333175
BRCA2,FASN,2,"colorectal, upper_aerodigestive",-0.24188960786917058,-0.3072651254559866
BRCA2,GTF3C2,2,"colorectal, central_nervous_system",-0.2468875243234342,-0.28900175739008205
BRCA2,CDK9,2,"colorectal, skin",-0.2383832217581825,-0.28569934136810615
BRCA2,NARS1,2,"colorectal, lung",-0.25903426911171723,-0.27903477336149085
BRCA2,POLR1A,2,"colorectal, lung",-0.25293316471379756,-0.276199410603827
BRCA2,HCFC1,2,"colorectal, skin",-0.2948355868720115,-0.32378763045310355
STK11,SRD5A3,2,"kidney, liver",-0.26799216403007176,-0.27383602074317237
PIK3CA,RFC3,2,"ovary, breast",-0.33234099639086245,-0.4230226172574538
KRAS,MCM5,2,"lung, kidney",-0.3664617177984485,-0.49993352568690885
KRAS,GATB,2,"lung, skin",-0.2324873984971385,-0.2493416051548015
KRAS,GADD45GIP1,2,"lung, central_nervous_system",-0.19308404005500646,-0.21078933881302192
KRAS,GABPB1,2,"kidney, upper_aerodigestive",-0.31402817175354,-0.3912791069144058
KRAS,MRPL53,2,"lung, skin",-0.26748164399629437,-0.33116914193813307
KRAS,MRPL55,2,"lung, skin",-0.2078202786268343,-0.21344297406948554
STK11,CSE1L,2,"lymphocyte, kidney",-0.22163149880054878,-0.2538949929215528
KRAS,PINX1,2,"kidney, upper_aerodigestive",-0.2112750247722921,-0.2228301207852371
KRAS,MRPL57,2,"lung, skin",-0.2604923456532988,-0.3240857379795199
KRAS,MRPS14,2,"lung, skin",-0.2510513494330269,-0.31839185751790433
KRAS,TFB1M,2,"lung, kidney",-0.19634058743021102,-0.20982867106405972
BRCA2,CHMP3,2,"lung, breast",-0.3561848810586791,-0.40957006586717226
STK11,SARNP,2,"lymphocyte, liver",-0.22353780645837396,-0.2481346592781688
KRAS,MRPS25,2,"lung, skin",-0.2508820526386071,-0.32870737561774
KRAS,MRPS6,2,"lung, skin",-0.20809789358677724,-0.2463120833570629
STK11,HNRNPA3,2,"lymphocyte, kidney",-0.22897978580456935,-0.23159206217102601
KRAS,MRPL18,2,"lung, skin",-0.25013176998629194,-0.3006033062879653
BRCA2,TFIP11,2,"colorectal, bone",-0.2303175607095369,-0.29888714988389875
BRCA2,GCGR,2,"colorectal, upper_aerodigestive",-0.16507644023831913,-0.17993663924442654
KRAS,ZNF236,2,"kidney, upper_aerodigestive",-0.198640202472895,-0.20726820424915948
KRAS,DHPS,2,"lung, central_nervous_system",-0.2816544241973806,-0.3012187133674421
KRAS,CCDC115,2,"lung, central_nervous_system",-0.3618057248125623,-0.42800409053853894
KRAS,METAP1,2,"lung, upper_aerodigestive",-0.2884383907314972,-0.29241950953383633
KRAS,HSPE1,2,"kidney, upper_aerodigestive",-0.20230715470719352,-0.21926670536941995
KRAS,HSD17B10,2,"lung, skin",-0.26295283567130745,-0.29027687356151993
KRAS,ATP6V1F,2,"lung, central_nervous_system",-0.28889701993957795,-0.30874693771696915
KRAS,CKAP2L,2,"kidney, upper_aerodigestive",-0.2000617489080963,-0.22194931077960012
KRAS,HAUS2,2,"kidney, upper_aerodigestive",-0.2100548804577991,-0.22268304155112661
KRAS,UBA52,2,"kidney, upper_aerodigestive",-0.2512306526838568,-0.2614911665950219
KRAS,CHCHD4,2,"kidney, upper_aerodigestive",-0.2263483744244934,-0.265312665393728
KRAS,TIMM10,2,"lung, skin",-0.2859686963661618,-0.3267020408008088
KRAS,TRAPPC13,2,"lung, kidney",-0.31956841630564664,-0.39576968304037313
KRAS,ZNF479,2,"kidney, upper_aerodigestive",-0.22674670598888913,-0.29097506482711605
KRAS,FARS2,2,"lung, central_nervous_system",-0.26689213431953074,-0.2716463310803391
PIK3CA,MRE11,2,"breast, central_nervous_system",-0.20627232298384693,-0.25516659314034423
PIK3CA,PDCD10,2,"skin, central_nervous_system",-0.30474170574321013,-0.33984416259366107
PIK3CA,NACA,2,"skin, upper_aerodigestive",-0.23375617470250687,-0.31061988455212
PIK3CA,INTS4,2,"breast, upper_aerodigestive",-0.17051129859075453,-0.18308081824645783
PIK3CA,FUS,2,"skin, upper_aerodigestive",-0.19709747225946841,-0.24081042686196394
PIK3CA,CYCS,2,"skin, upper_aerodigestive",-0.22881769182238382,-0.23699852808261157
PIK3CA,POLR1E,2,"breast, central_nervous_system",-0.22837506855097528,-0.23691937520473316
BRCA2,ELOC,2,"lung, skin",-0.33034291679887295,-0.389950144925552
PIK3CA,PIK3CB,2,"skin, breast",-0.2823500817001631,-0.3603126854471215
PIK3CA,SPPL3,2,"skin, upper_aerodigestive",-0.20985708189844776,-0.2266509107197106
PIK3CA,GEMIN8,2,"skin, central_nervous_system",-0.18122853299968059,-0.18399966812082297
PIK3CA,NDUFAF6,2,"skin, upper_aerodigestive",-0.23288390739361436,-0.30046605954148586
STK11,POLR2G,2,"skin, liver",-0.2952997778642231,-0.3719569090200918
STK11,DHRSX,2,"skin, liver",-0.40463944457175205,-0.4861431651055093
STK11,IRF4,2,"skin, lymphocyte",-0.4317478401742923,-0.5973567871455737
STK11,CLPB,2,"skin, liver",-0.18973624069366474,-0.19009423717901158
PIK3CA,SF3A2,2,"skin, upper_aerodigestive",-0.2543739658175518,-0.3024049124452459
KRAS,NOA1,2,"skin, central_nervous_system",-0.2347359861116583,-0.26337060405492896
KRAS,ZNF629,2,"skin, kidney",-0.22945221964945173,-0.2655359717431025
KRAS,ERCC6L,2,"skin, upper_aerodigestive",-0.19714455090287125,-0.2111063184810992
KRAS,AMBN,2,"skin, central_nervous_system",-0.1927929452118465,-0.209610653748417
KRAS,LIG3,2,"skin, central_nervous_system",-0.17669530185384183,-0.18969192716709962
KRAS,CBX3,2,"skin, kidney",-0.1706035796037223,-0.1799821283297004
KRAS,DUSP12,2,"skin, kidney",-0.1897884419616444,-0.2186046856873017
ARID1A,PSME1,2,"breast, lymphocyte",-0.18501853805896545,-0.1912622116146086
KRAS,CSNK2A2,2,"skin, kidney",-0.2386347616524778,-0.3208979670261298
BRCA2,PSMD7,2,"breast, central_nervous_system",-0.1938768493610057,-0.23049958978563523
KRAS,PEX12,2,"skin, central_nervous_system",-0.1743304714429006,-0.19729724313301017
BRCA2,COPS2,2,"breast, upper_aerodigestive",-0.23777561489472981,-0.27301909414752357
PIK3CA,OGDH,2,"skin, upper_aerodigestive",-0.4480431644385406,-0.4629072590774942
ARID1A,USP14,2,"breast, central_nervous_system",-0.15577437929155058,-0.15888401811594138
ARID1A,CAST,2,"breast, lymphocyte",-0.15533237263870173,-0.15568815053412527
PIK3CA,RPL18A,2,"skin, central_nervous_system",-0.2814296522070222,-0.40797065670707444
KRAS,HMOX2,2,"skin, kidney",-0.18400018329979484,-0.2073009523540838
BRCA2,PWP2,2,"skin, upper_aerodigestive",-0.29924707595598943,-0.3429292163036213
BRCA2,EIF2B1,2,"skin, upper_aerodigestive",-0.28815623281343783,-0.3328518826370348
BRCA2,ATP5MJ,2,"skin, central_nervous_system",-0.2379701074282205,-0.32318185356606227
BRCA2,LARS1,2,"skin, upper_aerodigestive",-0.2615216198010537,-0.3053419029586746
BRCA2,SNRNP70,2,"skin, bone",-0.26562651012847105,-0.2943014292436539
BRCA2,NOP2,2,"skin, upper_aerodigestive",-0.31134042675207396,-0.33723434831663757
BRCA2,POLR2G,2,"skin, bone",-0.354863892241577,-0.4427050287898464
PIK3CA,EXOSC5,2,"breast, central_nervous_system",-0.20187834235562885,-0.22186918609290596
BRCA2,RILP,2,"skin, breast",-0.22222312658479293,-0.2634208204476386
BRCA2,SRSF1,2,"skin, bone",-0.214598828258193,-0.23647759595465057
BRCA2,TNFRSF13B,2,"skin, breast",-0.19111185082254895,-0.23064163610343572
BRCA2,MED7,2,"skin, bone",-0.18256778345946031,-0.20959928677756118
BRCA2,NOP10,2,"skin, upper_aerodigestive",-0.23468870617050963,-0.26259907357899337
BRCA2,USP34,2,"skin, upper_aerodigestive",-0.17566564647931926,-0.19826073473934727
BRCA2,HIKESHI,2,"skin, breast",-0.17851835253690723,-0.1959631888331503
BRCA2,MAJIN,2,"skin, upper_aerodigestive",-0.17460937147811684,-0.18610512581373248
BRCA2,PRIM1,2,"skin, bone",-0.2313357715875738,-0.26477601601188927
STK11,RPL36AL,2,"skin, lymphocyte",-0.22306359844857382,-0.260438025106581
PIK3CA,MFN2,2,"breast, central_nervous_system",-0.22760668666668468,-0.25088308579469176
STK11,MICOS10,2,"skin, liver",-0.19092827067438078,-0.20070244275431992
STK11,H2AC8,2,"skin, lymphocyte",-0.18411263973544176,-0.1952302596200497
ARID1A,KCMF1,2,"skin, breast",-0.31956396872959864,-0.3499367224616433
ARID1A,JMJD6,2,"skin, lymphocyte",-0.20005649074909865,-0.2032690478129027
PIK3CA,SOD1,2,"breast, central_nervous_system",-0.2938037752292765,-0.30884962693551166
BRCA2,ACTR3,2,"skin, bone",-0.18898042976516377,-0.19539318751280282
ARID1A,BDP1,2,"skin, breast",-0.20786112462229128,-0.24591302481069532
BRCA2,MAGOH,2,"skin, upper_aerodigestive",-0.5173895275871534,-0.5992739519455597
BRCA2,TTK,2,"skin, upper_aerodigestive",-0.3902783757472007,-0.44027801012214857
